date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:20	296/296	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Oct%202021%2015:13:19%20GMT	http://localhost/robots.txt		(from )
22:13:24	413311/413311	---MC-	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2015:13:20%20GMT	http://localhost/AnhMinh/	C:/My%20Web%20Sites/helmetbro/localhost/AnhMinh/index.html	(from )
22:13:25	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2003%20Oct%202021%2015:13:24%20GMT	http://localhost/AnhMinh/xmlrpc.php	C:/My%20Web%20Sites/helmetbro/localhost/AnhMinh/xmlrpc.php	(from http://localhost/AnhMinh/)
22:13:25	59016/59016	---M--	200	added ('OK')	text/css	etag:%22e688-5bca27ed27980%22	http://localhost/AnhMinh/wp-includes/css/dashicons.min.css?ver=5.8.1	C:/My%20Web%20Sites/helmetbro/localhost/AnhMinh/wp-includes/css/dashicons.minf658.css	(from http://localhost/AnhMinh/)
22:13:26	815/815	---M--	200	added ('OK')	text/css	etag:%2232f-5cd1bfb35366a%22	http://localhost/AnhMinh/wp-content/plugins/ot-flatsome-vertical-menu/libs/menu-icons/css/extra.min.css?ver=0.12.2	C:/My%20Web%20Sites/helmetbro/localhost/AnhMinh/wp-content/plugins/ot-flatsome-vertical-menu/libs/menu-icons/css/extra.min9fd1.css	(from http://localhost/AnhMinh/)
22:13:27	2640/2640	---M--	200	added ('OK')	text/css	etag:%22a50-5cd1bd1e63f38%22	http://localhost/AnhMinh/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.2	C:/My%20Web%20Sites/helmetbro/localhost/AnhMinh/wp-content/plugins/contact-form-7/includes/css/styles7661.css	(from http://localhost/AnhMinh/)
22:13:27	3343/3343	---M--	200	added ('OK')	text/css	etag:%22d0f-5cd1bfd6c520d%22	http://localhost/AnhMinh/wp-content/plugins/menu-image/includes/css/menu-image.css?ver=3.0.4	C:/My%20Web%20Sites/helmetbro/localhost/AnhMinh/wp-content/plugins/menu-image/includes/css/menu-image459e.css	(from http://localhost/AnhMinh/)
22:13:27	856/856	---M--	200	added ('OK')	application/rss+xml	etag:%22f33384d301c72393fd84dd2e919f24b8%22	http://localhost/AnhMinh/comments/feed/	C:/My%20Web%20Sites/helmetbro/localhost/AnhMinh/comments/feed/index.html	(from http://localhost/AnhMinh/)
22:13:27	14526/14526	---MC-	200	added ('OK')	application/rss+xml	etag:%22f33384d301c72393fd84dd2e919f24b8%22	http://localhost/AnhMinh/feed/	C:/My%20Web%20Sites/helmetbro/localhost/AnhMinh/feed/index.html	(from http://localhost/AnhMinh/)
22:13:28	3546/3546	---M--	200	added ('OK')	text/css	etag:%22dda-5cd1bfb33d70e%22	http://localhost/AnhMinh/wp-content/plugins/ot-flatsome-vertical-menu/assets/css/style.css?ver=1.2.3	C:/My%20Web%20Sites/helmetbro/localhost/AnhMinh/wp-content/plugins/ot-flatsome-vertical-menu/assets/css/style9632.css	(from http://localhost/AnhMinh/)
